,a,alpha,mu,sigma,spread,t_c
99,-0.01691030809482709,0.6080845938251819,1.1857830707885597,0.03749324753997498,"('HO5', 'CL5')",0.002482
100,-0.01773024972880688,0.537462318196234,1.1484734768025047,0.037951477847896285,"('XB1', 'CL5')",0.002482
101,-0.017347308207308385,0.6241778974199017,1.1406694461885374,0.03952953537937177,"('XB2', 'CL5')",0.002482
102,-0.01733799524744809,0.6162478337991167,1.1333981928619283,0.039244731931188284,"('XB3', 'CL5')",0.002482
103,-0.017143861380587343,0.5174168666443691,1.1302018874286668,0.03533398708466214,"('XB4', 'CL5')",0.002482
104,-0.017305468837369414,0.4481320462468326,1.1286432094343712,0.03336831756320297,"('XB5', 'CL5')",0.002482
105,-0.01669493719073973,0.6529147324952226,2.286669090271805,0.03808047884574304,"('QS1', 'CL5')",0.002482
106,-0.016696007887454345,0.658649824525367,2.2850802167468194,0.03825119231747782,"('QS2', 'CL5')",0.002482
107,-0.016704624223080895,0.6649230435264696,2.282643109754428,0.038463920027396244,"('QS3', 'CL5')",0.002482
108,-0.01672903250349192,0.6702854638927602,2.2792317547425847,0.03870692357334097,"('QS4', 'CL5')",0.002482
109,-0.01674673329782298,0.6735394756111628,2.2761362567314154,0.038864934056081685,"('QS5', 'CL5')",0.002482
110,-0.011480138483249192,0.14373584053697908,0.0031007278937294166,0.0313782965671208,"('CO1', 'CO2')",0.000289
111,-0.011592043044323654,0.0534592558602035,0.00566612074536736,0.0194106854608827,"('CO1', 'CO3')",0.000289
112,-0.01161879175834891,0.03377587026697755,0.00789587928672788,0.015481573745233502,"('CO1', 'CO4')",0.000289
113,-0.011591278235781105,0.02585748580173661,0.010231145996215722,0.013496501194710485,"('CO1', 'CO5')",0.000289
114,-0.017365225560816773,0.5390664937496157,1.0985686398564793,0.03679494152565732,"('HO1', 'CO1')",0.002482
115,-0.017384498624094916,0.5457407036301082,1.0982749538684717,0.037086139518252736,"('HO2', 'CO1')",0.002482
116,-0.01741289513568853,0.554737833131853,1.0972698965171859,0.03748590762622221,"('HO3', 'CO1')",0.002482
117,-0.017450475371844035,0.5641194613689453,1.0958288622428707,0.03792888421846379,"('HO4', 'CO1')",0.002482
118,-0.017493412073331306,0.575975841113157,1.0942771938975215,0.0384725692679796,"('HO5', 'CO1')",0.002482
119,-0.0184405685382889,0.45595736925589075,1.0576789475266357,0.03716079212698362,"('XB1', 'CO1')",0.002482
120,-0.018107503889506937,0.5365933172108835,1.0496713674152272,0.03918528173751281,"('XB2', 'CO1')",0.002482
121,-0.01798466618899477,0.5699565329776815,1.0419834106041344,0.03995921033900503,"('XB3', 'CO1')",0.002482
122,-0.01774301906658914,0.4852236444765093,1.0386747668147869,0.03610048280905788,"('XB4', 'CO1')",0.002482
123,-0.01788504623752003,0.41350784779629607,1.0371997514514646,0.033742692600312714,"('XB5', 'CO1')",0.002482
124,-0.016878444273070912,0.6730506310777881,2.194558328958337,0.03932923940152922,"('QS1', 'CO1')",0.002482
125,-0.016883844506543982,0.6776946756820332,2.192995819521225,0.03948441565983915,"('QS2', 'CO1')",0.002482
126,-0.01688985415684868,0.6851785053888403,2.1905516750985115,0.03972390670808718,"('QS3', 'CO1')",0.002482
127,-0.016911015121232244,0.6919724865101282,2.187129241248394,0.03999851143785367,"('QS4', 'CO1')",0.002482
128,-0.01693005739942783,0.6951591217034226,2.184040476461303,0.04016103177144748,"('QS5', 'CO1')",0.002482
129,-0.011798541747532537,0.015673186493424838,0.0024241835852881737,0.010801876247860713,"('CO2', 'CO3')",0.000289
130,-0.011655597923001648,0.014563451458498657,0.004760319111766842,0.01022524575966917,"('CO2', 'CO4')",0.000289
131,-0.011531851948402857,0.013940010995884981,0.007322775398360271,0.009843407493931394,"('CO2', 'CO5')",0.000289
132,-0.017301114151219037,0.5349137488651489,1.1017909409957827,0.03644203788902246,"('HO1', 'CO2')",0.002482
133,-0.017315523315641342,0.5424574862173783,1.1014860986773067,0.03674580253784119,"('HO2', 'CO2')",0.002482
134,-0.017340604267593294,0.5530020655909272,1.1004625449349443,0.03718510363567102,"('HO3', 'CO2')",0.002482
135,-0.017373891292260156,0.564305898802185,1.0990002007659994,0.03767578005733929,"('HO4', 'CO2')",0.002482
136,-0.01741165685043926,0.5779942209382322,1.0974299850723161,0.03825936171918402,"('HO5', 'CO2')",0.002482
137,-0.018333747095142083,0.46405868130617517,1.0607199201042983,0.037152032716787575,"('XB1', 'CO2')",0.002482
138,-0.018014821589295536,0.5432074970283245,1.0527729418542062,0.039112198888507234,"('XB2', 'CO2')",0.002482
139,-0.01792664529621941,0.5633709875386975,1.045219726369359,0.039528203353673214,"('XB3', 'CO2')",0.002482
140,-0.01770294276395025,0.47223290777102284,1.0420170988911213,0.03548864672990696,"('XB4', 'CO2')",0.002482
141,-0.017851351526242593,0.40203596510642026,1.0405754800520988,0.03317372582812668,"('XB5', 'CO2')",0.002482
142,-0.016848731317160113,0.670440480529002,2.197776126975109,0.03914501822332775,"('QS1', 'CO2')",0.002482
143,-0.016853383914273247,0.6753394045642245,2.196209299282012,0.039304723525570455,"('QS2', 'CO2')",0.002482
144,-0.016857628535724777,0.6833186847928162,2.19375706469098,0.0395517938253224,"('QS3', 'CO2')",0.002482
145,-0.016877578615953136,0.6904748510962327,2.1903288967144197,0.039831881101485805,"('QS4', 'CO2')",0.002482
146,-0.01689593439056092,0.6938576682070413,2.187237165941277,0.03999718582365409,"('QS5', 'CO2')",0.002482
147,-0.011501351752788262,0.014558600580091766,0.002369164869379928,0.010015043651226505,"('CO3', 'CO4')",0.000289
148,-0.01140213465828943,0.013861455243275355,0.004952200015576752,0.009644561678349093,"('CO3', 'CO5')",0.000289
149,-0.017229273265933733,0.5347094419636633,1.1046387338620987,0.036199271976886986,"('HO1', 'CO3')",0.002482
150,-0.01724048762185768,0.5431832338937085,1.1043230304367702,0.03652204413305189,"('HO2', 'CO3')",0.002482
151,-0.017261117996820414,0.5550304224569863,1.103285317715088,0.03698714164630942,"('HO3', 'CO3')",0.002482
152,-0.017289276749491496,0.5679013177764249,1.101807230074916,0.03750882108824541,"('HO4', 'CO3')",0.002482
153,-0.01732206010617524,0.5832066415131139,1.1002225681126176,0.03812342056165625,"('HO5', 'CO3')",0.002482
154,-0.018246587427429527,0.4750190797759109,1.0633993840216232,0.03731041177711347,"('XB1', 'CO3')",0.002482
155,-0.017932321470543938,0.550394452148661,1.0555439147828567,0.03908958426133095,"('XB2', 'CO3')",0.002482
156,-0.017879532777602018,0.5578982771465723,1.0481188055467006,0.039174795636890525,"('XB3', 'CO3')",0.002482
157,-0.01766701000868148,0.462738725500439,1.0449931133372279,0.03501899726010022,"('XB4', 'CO3')",0.002482
158,-0.01781015274089017,0.3947160003655683,1.0435576796161394,0.03275220166671792,"('XB5', 'CO3')",0.002482
159,-0.016815634267615755,0.6681639940644646,2.2006594957351777,0.038958650801688866,"('QS1', 'CO3')",0.002482
160,-0.01681941813420299,0.6733200372480498,2.1990882638071034,0.03912242747333465,"('QS2', 'CO3')",0.002482
161,-0.016822617806614742,0.6815777698737066,2.196631139590661,0.0393732971827927,"('QS3', 'CO3')",0.002482
162,-0.016842071203805778,0.6888829208365271,2.193200256868572,0.03965526682276162,"('QS4', 'CO3')",0.002482
163,-0.016860029079663514,0.6923768821325016,2.1901067101194784,0.03982193995600705,"('QS5', 'CO3')",0.002482
164,-0.011310428135062835,0.01395229621538452,0.002590221515999019,0.009557687910939373,"('CO4', 'CO5')",0.000289
165,-0.017149604095917335,0.5354383569078858,1.1071503171472217,0.035962852970913305,"('HO1', 'CO4')",0.002482
166,-0.01715759783238851,0.5447984357649845,1.1068245625639508,0.036302222379425,"('HO2', 'CO4')",0.002482
167,-0.017174093582617747,0.557844229865778,1.1057743508183404,0.03678943872674779,"('HO3', 'CO4')",0.002482
168,-0.017197728710469536,0.5720902922803137,1.1042831872800922,0.03733628912281758,"('HO4', 'CO4')",0.002482
169,-0.017226196105530386,0.588787623188864,1.1026869923979836,0.037975122461598156,"('HO5', 'CO4')",0.002482
170,-0.01815544142134019,0.4849858654422375,1.0657768364716924,0.037407002491845566,"('XB1', 'CO4')",0.002482
171,-0.017851571591359274,0.5548035466974472,1.0580197320570135,0.03897083812198893,"('XB2', 'CO4')",0.002482
172,-0.01783189171264783,0.5505255781387522,1.0507126366048345,0.03875363385669105,"('XB3', 'CO4')",0.002482
173,-0.017626543703321625,0.45317861158308226,1.0476517562644916,0.03453169758680168,"('XB4', 'CO4')",0.002482
174,-0.017762923206165144,0.38798842428689695,1.0462108743957728,0.032337786471896286,"('XB5', 'CO4')",0.002482
175,-0.016781045781307315,0.6657032750791856,2.2032194367820694,0.03876195282394969,"('QS1', 'CO4')",0.002482
176,-0.01678420474052898,0.6710420832725081,2.2016448077731074,0.038928520773850145,"('QS2', 'CO4')",0.002482
177,-0.016786811739980492,0.6794350515779877,2.199184717465423,0.039180717357363136,"('QS3', 'CO4')",0.002482
178,-0.016805987443119168,0.686819053538534,2.1957519096737026,0.03946337182581834,"('QS4', 'CO4')",0.002482
